ID;Ano;Sexo;Cooper_Dist;Cooper_Nota
1003;1;M;3291;15,94
1004;1;M;3292;15,95
1005;1;M;3293;15,96
1006;1;M;3294;15,97
1007;1;M;3295;15,98
1008;1;M;3296;15,99
1009;1;M;3297;16
1010;1;M;3298;16,01
1011;1;M;3299;16,02
1012;1;M;3300;16,03
1013;1;M;3301;16,04
1014;1;M;3302;16,05
1015;1;M;3303;16,06
1016;1;M;3304;16,08
1017;1;M;3305;16,09
1018;1;M;3306;16,1
1019;1;M;3307;16,12
1020;1;M;3308;16,14
1021;1;M;3309;16,16
1022;1;M;3310;16,18
1023;1;M;3311;16,19
1024;1;M;3312;16,2
1025;1;M;3313;16,21
1026;1;M;3314;16,22
1027;1;M;3315;16,23
1028;1;M;3316;16,24
1029;1;M;3317;16,25
1030;1;M;3318;16,26
1031;1;M;3319;16,27
1032;1;M;3320;16,28
1033;1;M;3321;16,29
1034;1;M;3322;16,3
1035;1;M;3323;16,31
1036;1;M;3324;16,32
1037;1;M;3325;16,33
1038;1;M;3326;16,34
1039;1;M;3327;16,35
1040;1;M;3328;16,36
1041;1;M;3329;16,38
1042;1;M;3330;16,39
1043;1;M;3331;16,4
1044;1;M;3332;16,42
1045;1;M;3333;16,44
1046;1;M;3334;16,46
1047;1;M;3335;16,48
1048;1;M;3336;16,49
1049;1;M;3337;16,5
1050;1;M;3338;16,51
1051;1;M;3339;16,52
1052;1;M;3340;16,53
1053;1;M;3341;16,54
1054;1;M;3342;16,55
1055;1;M;3343;16,56
1056;1;M;3344;16,57
1057;1;M;3345;16,58
1058;1;M;3346;16,6
